age_group,category,score
20s,건강검진,0.079
20s,산부인과,0.598
20s,수술,0.083
20s,안과,0.264
20s,외래/통원,0.63
20s,응급,0.464
20s,입원,0.094
20s,재활,0.118
20s,정신건강,0.515
20s,정형외과,0.273
20s,치과,0.604
20s,피부과,0.703
30s,건강검진,0.175
30s,산부인과,0.591
30s,수술,0.135
30s,안과,0.301
30s,외래/통원,0.774
30s,응급,0.556
30s,입원,0.183
30s,재활,0.164
30s,정신건강,0.525
30s,정형외과,0.378
30s,치과,0.637
30s,피부과,0.745
40s,건강검진,0.38
40s,산부인과,0.777
40s,수술,0.236
40s,안과,0.442
40s,외래/통원,0.821
40s,응급,0.647
40s,입원,0.281
40s,재활,0.24
40s,정신건강,0.566
40s,정형외과,0.507
40s,치과,0.698
40s,피부과,0.765
50s,건강검진,0.713
50s,산부인과,0.671
50s,수술,0.46
50s,안과,0.628
50s,외래/통원,0.823
50s,응급,0.839
50s,입원,0.45
50s,재활,0.413
50s,정신건강,0.636
50s,정형외과,0.697
50s,치과,0.897
50s,피부과,0.855
60+,건강검진,0.657
60+,산부인과,0.171
60+,수술,0.534
60+,안과,0.564
60+,외래/통원,0.498
60+,응급,0.654
60+,입원,0.703
60+,재활,0.702
60+,정신건강,0.658
60+,정형외과,0.536
60+,치과,0.566
60+,피부과,0.566
